incident_id,visibility,method,root_cause_idx,root_cause_node,rank,PR@1,PR@3,PR@5,Precision@1,Precision@3,Precision@5,Recall@1,Recall@3,Recall@5,AP
7,0.0,MonitorRank,12128,MS_56123,15,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667
7,0.0,MicroRank,12128,MS_56123,1,1,1,1,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1.0
7,0.0,CORAL,12128,MS_56123,15,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667
7,0.0,TraceRank,12128,MS_56123,1,1,1,1,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1.0
7,0.0,IRWR,12128,MS_56123,3,0,1,1,0.0,0.3333333333333333,0.2,0.0,1.0,1.0,0.3333333333333333
7,0.0,eIRWR,12128,MS_56123,1,1,1,1,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1.0
8,0.0,MicroRCA,3531,MS_23367,40,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.025
8,0.0,CloudRanger,3531,MS_23367,1826,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.000547645125958379
8,0.0,In-Degree,3531,MS_23367,7094,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.000140964195094446
8,0.0,MicroHECL,3531,MS_23367,103,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.009708737864077669
8,0.0,TraceDiag,3531,MS_23367,66,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.015151515151515152
8,0.0,Neighbor Corr.,3531,MS_23367,144,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.006944444444444444
8,0.0,MonitorRank,3531,MS_23367,41,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.024390243902439025
8,0.0,MicroRank,3531,MS_23367,1,1,1,1,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1.0
8,0.0,CORAL,3531,MS_23367,39,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.02564102564102564
8,0.0,TraceRank,3531,MS_23367,1,1,1,1,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1.0
8,0.0,IRWR,3531,MS_23367,11,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091
8,0.0,eIRWR,3531,MS_23367,2,0,1,1,0.0,0.3333333333333333,0.2,0.0,1.0,1.0,0.5
9,0.0,MicroRCA,1664,MS_16283,108,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.009259259259259259
9,0.0,CloudRanger,1664,MS_16283,10481,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,9.541074324968991e-05
9,0.0,In-Degree,1664,MS_16283,8240,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012135922330097087
9,0.0,MicroHECL,1664,MS_16283,44,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.022727272727272728
9,0.0,TraceDiag,1664,MS_16283,15760,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,6.34517766497462e-05
9,0.0,Neighbor Corr.,1664,MS_16283,4719,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00021190930281839374
9,0.0,MonitorRank,1664,MS_16283,114,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.008771929824561403
9,0.0,MicroRank,1664,MS_16283,1,1,1,1,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1.0
9,0.0,CORAL,1664,MS_16283,109,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.009174311926605505
9,0.0,TraceRank,1664,MS_16283,1,1,1,1,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1.0
9,0.0,IRWR,1664,MS_16283,71,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.014084507042253521
9,0.0,eIRWR,1664,MS_16283,1126,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008880994671403197
10,0.0,MicroRCA,9173,MS_44958,25,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04
10,0.0,CloudRanger,9173,MS_44958,10615,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,9.420631182289213e-05
10,0.0,In-Degree,9173,MS_44958,12625,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,7.920792079207921e-05
10,0.0,MicroHECL,9173,MS_44958,1,1,1,1,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1.0
10,0.0,TraceDiag,9173,MS_44958,9199,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010870746820306555
10,0.0,Neighbor Corr.,9173,MS_44958,141,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0070921985815602835
10,0.0,MonitorRank,9173,MS_44958,27,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.037037037037037035
10,0.0,MicroRank,9173,MS_44958,1,1,1,1,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1.0
10,0.0,CORAL,9173,MS_44958,25,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04
10,0.0,TraceRank,9173,MS_44958,2,0,1,1,0.0,0.3333333333333333,0.2,0.0,1.0,1.0,0.5
10,0.0,IRWR,9173,MS_44958,2,0,1,1,0.0,0.3333333333333333,0.2,0.0,1.0,1.0,0.5
10,0.0,eIRWR,9173,MS_44958,2,0,1,1,0.0,0.3333333333333333,0.2,0.0,1.0,1.0,0.5
11,0.0,MicroRCA,16959,MS_8421,6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666
11,0.0,CloudRanger,16959,MS_8421,12397,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,8.066467693796887e-05
11,0.0,In-Degree,16959,MS_8421,10038,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,9.962143853357243e-05
11,0.0,MicroHECL,16959,MS_8421,3,0,1,1,0.0,0.3333333333333333,0.2,0.0,1.0,1.0,0.3333333333333333
11,0.0,TraceDiag,16959,MS_8421,16974,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,5.8913632614587014e-05
11,0.0,Neighbor Corr.,16959,MS_8421,126,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.007936507936507936
11,0.0,MonitorRank,16959,MS_8421,6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666
11,0.0,MicroRank,16959,MS_8421,2,0,1,1,0.0,0.3333333333333333,0.2,0.0,1.0,1.0,0.5
11,0.0,CORAL,16959,MS_8421,6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666
11,0.0,TraceRank,16959,MS_8421,1,1,1,1,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1.0
11,0.0,IRWR,16959,MS_8421,3,0,1,1,0.0,0.3333333333333333,0.2,0.0,1.0,1.0,0.3333333333333333
11,0.0,eIRWR,16959,MS_8421,3,0,1,1,0.0,0.3333333333333333,0.2,0.0,1.0,1.0,0.3333333333333333
12,0.0,MicroRCA,12799,MS_58649,102,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00980392156862745
12,0.0,CloudRanger,12799,MS_58649,12804,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,7.810059356451109e-05
12,0.0,In-Degree,12799,MS_58649,9516,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010508617065994115
12,0.0,MicroHECL,12799,MS_58649,41,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.024390243902439025
12,0.0,TraceDiag,12799,MS_58649,12802,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,7.811279487580065e-05
12,0.0,Neighbor Corr.,12799,MS_58649,497,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.002012072434607646
12,0.0,MonitorRank,12799,MS_58649,192,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.005208333333333333
12,0.0,MicroRank,12799,MS_58649,1,1,1,1,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1.0
12,0.0,CORAL,12799,MS_58649,104,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.009615384615384616
12,0.0,TraceRank,12799,MS_58649,2,0,1,1,0.0,0.3333333333333333,0.2,0.0,1.0,1.0,0.5
12,0.0,IRWR,12799,MS_58649,45,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.022222222222222223
