visibility,method,n_incidents,PR@1,PR@3,PR@5,Precision@1,Precision@3,Precision@5,Recall@1,Recall@3,Recall@5,MRR,MAP,avg_rank,median_rank,dataset_index,n_rows,n_nodes,n_edges
0.5,Neighbor Corr.,200,0.0,0.0,0.01,0.0,0.0,0.002,0.0,0.0,0.01,0.031652860214575876,0.031652860214575876,39.155,40.0,84,8468727,11966,30727
0.5,MonitorRank,200,0.385,0.49,0.54,0.385,0.16333333333333333,0.10800000000000001,0.385,0.49,0.54,0.47862514772126,0.47862514772126,8.305,4.0,84,8468727,11966,30727
0.5,MicroRank,200,0.77,1.0,1.0,0.77,0.33333333333333326,0.2,0.77,1.0,1.0,0.885,0.885,1.23,1.0,84,8468727,11966,30727
0.5,CORAL,200,0.375,0.5,0.55,0.375,0.16666666666666663,0.11,0.375,0.5,0.55,0.479801544948992,0.479801544948992,7.415,3.5,84,8468727,11966,30727
0.5,TraceRank,200,1.0,1.0,1.0,1.0,0.33333333333333326,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,84,8468727,11966,30727
0.5,IRWR,200,0.69,0.96,0.985,0.69,0.32,0.19699999999999998,0.69,0.96,0.985,0.8244642857142856,0.8244642857142856,1.48,1.0,84,8468727,11966,30727
0.5,eIRWR,200,0.865,0.995,0.995,0.865,0.33166666666666667,0.19899999999999998,0.865,0.995,0.995,0.9302272727272728,0.9302272727272728,1.235,1.0,84,8468727,11966,30727
0.0,MicroRCA,200,0.025,0.06,0.07,0.025,0.019999999999999997,0.014000000000000002,0.025,0.06,0.07,0.05893952887451375,0.05893952887451375,5419.95,243.0,136,15410499,17379,56143
0.0,CloudRanger,200,0.0,0.0,0.005,0.0,0.0,0.001,0.0,0.0,0.005,0.0019725936329860225,0.0019725936329860225,7977.75,8378.0,136,15410499,17379,56143
0.0,In-Degree,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002708151441390677,0.0002708151441390677,8236.545,8079.0,136,15410499,17379,56143
0.0,MicroHECL,200,0.06,0.15,0.175,0.06,0.05,0.035,0.06,0.15,0.175,0.11514932728337815,0.11514932728337815,5859.2,221.0,136,15410499,17379,56143
0.0,TraceDiag,200,0.025,0.035,0.05,0.025,0.011666666666666665,0.01,0.025,0.035,0.05,0.04037318438477003,0.04037318438477003,7256.71,7953.5,136,15410499,17379,56143
0.0,Neighbor Corr.,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035005297668122227,0.0035005297668122227,5058.375,1111.5,136,15410499,17379,56143
