index,n_rows,n_nodes,n_edges,density,avg_degree,file_size_mb
138,15282244,18872,60809,0.00017074776158667145,3.2221810089020773,1592.8489837646484
139,12355417,17365,52429,0.00017387895021674094,3.0192340915634897,1277.585925102234
140,12019591,15856,45014,0.0001790555236803257,2.8389253279515643,1239.4907341003418
141,11888347,15511,44005,0.00018291546678401855,2.837018889820128,1225.585350036621
142,12020559,15516,44343,0.00018420165202001206,2.8578886310904874,1239.5466442108154
143,12169229,15839,45310,0.00018062005273563402,2.8606603952269714,1255.6824789047241
144,12059527,15635,44842,0.0001834496895506129,2.868052446434282,1243.9342231750488
145,12300704,15774,45066,0.0001811310365969339,2.8569798402434388,1268.995385169983
146,12675702,15850,45514,0.0001811815093270819,2.8715457413249212,1309.4012784957886
147,12429307,15643,45280,0.00018505213128601922,2.8945854375759126,1282.7336740493774
148,12670471,16106,46447,0.00017906439691128855,2.883832112256302,1308.0008554458618
149,12563862,16013,46291,0.00018054201183871356,2.890838693561481,1296.342625617981
150,12867332,16655,48618,0.0001752806164507301,2.9191233863704595,1329.2050485610962
151,12889353,16437,47864,0.00017717004769629116,2.9119669039362415,1333.2939205169678
152,12969681,16399,48449,0.00018016754864313706,2.9543874626501614,1341.726996421814
153,12964924,17040,50345,0.00017339742821425688,2.954518779342723,1341.5337057113647
154,13426746,17312,51402,0.00017151836079994012,2.969154343807763,1396.9423971176147
155,14895087,18315,56628,0.0001688266840609311,3.091891891891892,1551.213459968567
156,16444992,19482,63149,0.00016638788153022636,3.24140232009034,1720.3715324401855
157,17391111,20400,68443,0.00016447124955183307,3.355049019607843,1824.1631183624268
158,16304842,20519,68868,0.00016357851220616406,3.3563039134460744,1706.0405521392822
159,13757117,19049,60187,0.00016587507506503763,3.159588429838837,1429.4804286956787
160,13727435,17979,54076,0.00016730065869421297,3.007731242004561,1422.5425128936768
161,13585315,18011,53990,0.0001664415641363716,2.9976125700960523,1406.9430923461914
162,13806797,17885,54116,0.00016918898399507728,3.025775789767962,1429.3504629135132
163,13976760,18067,54116,0.00016579737018458993,2.9952952897548015,1448.1557178497314
164,14015724,17847,54131,0.00016995734491681919,3.033058777385555,1452.00839138031
165,14036714,18113,55030,0.0001677423473642791,3.038149395461823,1455.011227607727
166,14239285,18259,55527,0.000166561268152807,3.0410756339339504,1478.735421180725
167,14209575,18247,55531,0.00016679243605088014,3.043294788184359,1475.4975728988647
168,14432492,18509,56707,0.00016553667435288666,3.0637527689232265,1498.5272645950317
169,14285413,18383,56476,0.000167130141390691,3.0721862590436815,1484.5949239730835
170,14529812,19002,58998,0.00016340356141327512,3.1048310704136406,1509.5709686279297
171,14698654,19015,58800,0.00016263256317134163,3.0922955561398897,1527.8434047698975
172,14917499,19066,59323,0.00016320246241684406,3.111454945977132,1551.2989654541016
173,14869015,19627,61280,0.00015908639466517276,3.1222295816986803,1545.7809677124023
174,15145722,19890,63062,0.00015941163249903227,3.1705379587732527,1576.9267740249634
175,16167340,20705,67641,0.00015779038133013738,3.2668920550591642,1687.9751062393188
176,18141731,22022,74858,0.00015436343156577148,3.399237126509854,1903.583706855774
177,19363213,22850,79944,0.00015312019458354358,3.4986433260393874,2038.328917503357
